word,replacement
BGB,
StGB,
ZPO,
StPO,
GG,
HGB,
GmbHG,
AktG,
InsO,
BauGB,
VwGO,
VwVfG,
GewO,
GKG,
RVG,
EGBGB,
BNotO,
BRAO,
BVerfGG,
GVG,
FamFG,
BeurkG,
GBO,
WEG,
ErbbauRG,
UrhG,
MarkenG,
PatG,
UWG,
GWB,
TzBfG,
KSchG,
BetrVG,
ArbGG,
SGB I,
SGB II,
SGB III,
SGB IV,
SGB V,
SGB VI,
SGB VII,
SGB VIII,
SGB IX,
SGB X,
SGB XI,
SGB XII,
SGG,
FGO,
AO,
EStG,
KStG,
UStG,
GrEStG,
ErbStG,
GrStG,
OWiG,
PolG,
PAG,
IfSG,
BImSchG,
WHG,
BNatSchG,
AEUV,
EUV,
EMRK,
GRC,
DSGVO,
BDSG,
TKG,
AGG,
MiLoG,
BUrlG,
EntgFG,
NachwG,
BBiG,
AÜG,
MuSchG,
BEEG,
JArbSchG,
ArbSchG,
ASiG,
BPersVG,
KAGB,
WpHG,
KWG,
VAG,
ZAG,
WechselG,
ScheckG,
StVG,
PflVG,
HOAI,
ROG,
Paragraph,§
paragraph,§
Absatz,Abs.
absatz,Abs.
Nummer,Nr.
nummer,Nr.Dogpittens,Dark Patterns
Dark Patterns,Dark Patterns
Dresden,JSON
JSON,JSON
Clot,Claude
Claude,Claude
"Tchö, tschö, tschö, pt.",ChatGPT
ChatGPT,ChatGPT
und das Gerichtshof,Bundesgerichtshof
Bundesgerichtshof,Bundesgerichtshof
Oskar,Oscar
Oscar,Oscar
Emil,Emil
Emil,Emil
Michel,Michel
Michel,Michel
